,Month,Year,Name,Account,Service,Cost,Enviroment
70,JUN,2025,Entercom Communications,724972922289,Amazon EC2 Container Registry (ECR),452.1623601133,Environment$prod
71,JUN,2025,Entercom Communications,724972922289,Amazon ElastiCache,7309.0435649224,Environment$
72,JUN,2025,Entercom Communications,724972922289,Amazon ElastiCache,3364.9566983325,Environment$nonprod
73,JUN,2025,Entercom Communications,724972922289,Amazon ElastiCache,2876.6928,Environment$prod
74,JUN,2025,Entercom Communications,724972922289,EC2 - Other,12262.1375421669,Environment$
75,JUN,2025,Entercom Communications,724972922289,EC2 - Other,0.3922222183,Environment$PSFalcon
76,JUN,2025,Entercom Communications,724972922289,EC2 - Other,7.9415541049,Environment$Production
77,JUN,2025,Entercom Communications,724972922289,EC2 - Other,0.9063003983,Environment$dev
78,JUN,2025,Entercom Communications,724972922289,EC2 - Other,9.8055555634,Environment$management
79,JUN,2025,Entercom Communications,724972922289,EC2 - Other,690.2742489372,Environment$nonprod
80,JUN,2025,Entercom Communications,724972922289,EC2 - Other,10.0500839453,Environment$prd
81,JUN,2025,Entercom Communications,724972922289,EC2 - Other,3466.9257995079,Environment$prod
82,JUN,2025,Entercom Communications,724972922289,EC2 - Other,0.4407615353,Environment$stg
83,JUN,2025,Entercom Communications,724972922289,Amazon Elastic Compute Cloud - Compute,9077.3013732855,Environment$
84,JUN,2025,Entercom Communications,724972922289,Amazon Elastic Compute Cloud - Compute,0.106892501,Environment$Production
85,JUN,2025,Entercom Communications,724972922289,Amazon Elastic Compute Cloud - Compute,31.6224,Environment$dev
86,JUN,2025,Entercom Communications,724972922289,Amazon Elastic Compute Cloud - Compute,3851.7807439905,Environment$nonprod
87,JUN,2025,Entercom Communications,724972922289,Amazon Elastic Compute Cloud - Compute,0.0,Environment$prd
88,JUN,2025,Entercom Communications,724972922289,Amazon Elastic Compute Cloud - Compute,33371.5026949729,Environment$prod
89,JUN,2025,Entercom Communications,724972922289,Amazon Elastic Compute Cloud - Compute,0.0,Environment$stg
90,JUN,2025,Entercom Communications,724972922289,Amazon Elastic Container Service,3962.2004624565,Environment$
91,JUN,2025,Entercom Communications,724972922289,Amazon Elastic Container Service for Kubernetes,280.2216122315,Environment$
92,JUN,2025,Entercom Communications,724972922289,Amazon Elastic Container Service for Kubernetes,330.3,Environment$nonprod
93,JUN,2025,Entercom Communications,724972922289,Amazon Elastic Container Service for Kubernetes,330.3,Environment$prod
94,JUN,2025,Entercom Communications,724972922289,Amazon Elastic File System,40.1757997205,Environment$
95,JUN,2025,Entercom Communications,724972922289,Amazon Elastic Load Balancing,3651.4842257856,Environment$
96,JUN,2025,Entercom Communications,724972922289,Amazon Elastic Load Balancing,8.2575967944,Environment$Production
97,JUN,2025,Entercom Communications,724972922289,Amazon Elastic Load Balancing,8.3067691541,Environment$dev
98,JUN,2025,Entercom Communications,724972922289,Amazon Elastic Load Balancing,165.2684504568,Environment$nonprod
99,JUN,2025,Entercom Communications,724972922289,Amazon Elastic Load Balancing,24.7757145543,Environment$prd
100,JUN,2025,Entercom Communications,724972922289,Amazon Elastic Load Balancing,1081.4975191026,Environment$prod
101,JUN,2025,Entercom Communications,724972922289,Amazon Elastic Load Balancing,8.3016726122,Environment$stg
102,JUN,2025,Entercom Communications,724972922289,Amazon Elastic Transcoder,0.6345,Environment$
103,JUN,2025,Entercom Communications,724972922289,Amazon Glacier,1.2903913597,Environment$
104,JUN,2025,Entercom Communications,724972922289,Amazon GuardDuty,1846.0666022583,Environment$
105,JUN,2025,Entercom Communications,724972922289,Amazon Inspector,1.2,Environment$
106,JUN,2025,Entercom Communications,724972922289,Amazon Kinesis,55.05,Environment$
107,JUN,2025,Entercom Communications,724972922289,Amazon Lightsail,5.2432547396,Environment$
108,JUN,2025,Entercom Communications,724972922289,Amazon Location Service,0.0003985,Environment$
109,JUN,2025,Entercom Communications,724972922289,Amazon MQ,32.9867117562,Environment$
110,JUN,2025,Entercom Communications,724972922289,Amazon MQ,115.7880375358,Environment$nonprod
111,JUN,2025,Entercom Communications,724972922289,Amazon MQ,115.8093147425,Environment$prod
112,JUN,2025,Entercom Communications,724972922289,Amazon Macie,1.28232,Environment$
113,JUN,2025,Entercom Communications,724972922289,Amazon Managed Grafana,9.0,Environment$
114,JUN,2025,Entercom Communications,724972922289,Amazon Managed Workflows for Apache Airflow,1802.5781504698,Environment$
115,JUN,2025,Entercom Communications,724972922289,Amazon Managed Workflows for Apache Airflow,631.5181753076,Environment$nonprod
116,JUN,2025,Entercom Communications,724972922289,Amazon Managed Workflows for Apache Airflow,1816.3087898868,Environment$prod
117,JUN,2025,Entercom Communications,724972922289,Amazon Neptune,2.4204078456,Environment$
118,JUN,2025,Entercom Communications,724972922289,Amazon OpenSearch Service,300.5947131244,Environment$
119,JUN,2025,Entercom Communications,724972922289,Amazon OpenSearch Service,5101.4539012871,Environment$nonprod
120,JUN,2025,Entercom Communications,724972922289,Amazon OpenSearch Service,15398.0706068171,Environment$prod
121,JUN,2025,Entercom Communications,724972922289,Amazon Personalize,293.597064,Environment$
122,JUN,2025,Entercom Communications,724972922289,Amazon QuickSight,32.6073596805,Environment$
123,JUN,2025,Entercom Communications,724972922289,Amazon Redshift,207.17392945,Environment$
124,JUN,2025,Entercom Communications,724972922289,Amazon Relational Database Service,36158.3655218608,Environment$
125,JUN,2025,Entercom Communications,724972922289,Amazon Relational Database Service,0.00086598,Environment$loadtest
