,Month,Year,Name,Account,Service,Cost
0,JAN,2024,Entercom Communications,724972922289,AWS Amplify,0.0
1,JAN,2024,Entercom Communications,724972922289,AWS Backup,4.0339179014
2,JAN,2024,Entercom Communications,724972922289,AWS Backup,111.9307107035
3,JAN,2024,Entercom Communications,724972922289,AWS Budgets,0.0
4,JAN,2024,Entercom Communications,724972922289,AWS Certificate Manager,1448.0
5,JAN,2024,Entercom Communications,724972922289,AWS CloudShell,8.95e-07
6,JAN,2024,Entercom Communications,724972922289,AWS CloudTrail,8656.270503285
7,JAN,2024,Entercom Communications,724972922289,AWS CodeCommit,0.0
8,JAN,2024,Entercom Communications,724972922289,AWS Config,2102.71682
9,JAN,2024,Entercom Communications,724972922289,AWS Cost Explorer,0.09955
10,JAN,2024,Entercom Communications,724972922289,AWS Data Exchange,0.0893500104
11,JAN,2024,Entercom Communications,724972922289,AWS Data Transfer,-0.0002679676
12,JAN,2024,Entercom Communications,724972922289,AWS DataSync,3.1041322263
13,JAN,2024,Entercom Communications,724972922289,AWS Database Migration Service,162.2701882174
14,JAN,2024,Entercom Communications,724972922289,AWS Directory Service,457.4153121311
15,JAN,2024,Entercom Communications,724972922289,AWS Elemental MediaLive,26.9328
16,JAN,2024,Entercom Communications,724972922289,AWS Elemental MediaStore,0.000173724
17,JAN,2024,Entercom Communications,724972922289,AWS End User Messaging,2.714999964
18,JAN,2024,Entercom Communications,724972922289,AWS Global Accelerator,0.0
19,JAN,2024,Entercom Communications,724972922289,AWS Global Accelerator,33.6733752095
20,JAN,2024,Entercom Communications,724972922289,AWS Glue,14.7120071032
21,JAN,2024,Entercom Communications,724972922289,AWS Key Management Service,132.7265936896
22,JAN,2024,Entercom Communications,724972922289,AWS Key Management Service,1.8163552746
23,JAN,2024,Entercom Communications,724972922289,AWS Key Management Service,0.9031643898
24,JAN,2024,Entercom Communications,724972922289,AWS Key Management Service,0.9059203482
25,JAN,2024,Entercom Communications,724972922289,AWS Key Management Service,73.2002328232
26,JAN,2024,Entercom Communications,724972922289,AWS Key Management Service,47.8606488954
27,JAN,2024,Entercom Communications,724972922289,AWS Key Management Service,1.806350733
