,Month,Year,Name,Account,Service,Cost,Enviroment
70,JAN,2025,Entercom Communications,724972922289,Amazon DynamoDB,2.78241606,Environment$stg
71,JAN,2025,Entercom Communications,724972922289,Amazon EC2 Container Registry (ECR),163.5407307056,Environment$
72,JAN,2025,Entercom Communications,724972922289,Amazon EC2 Container Registry (ECR),0.0333139392,Environment$common
73,JAN,2025,Entercom Communications,724972922289,Amazon EC2 Container Registry (ECR),0.1013141256,Environment$global
74,JAN,2025,Entercom Communications,724972922289,Amazon EC2 Container Registry (ECR),0.3658387128,Environment$nonprod
75,JAN,2025,Entercom Communications,724972922289,Amazon EC2 Container Registry (ECR),741.8578642958,Environment$prod
76,JAN,2025,Entercom Communications,724972922289,Amazon ElastiCache,18571.60578,Environment$
77,JAN,2025,Entercom Communications,724972922289,Amazon ElastiCache,296.54352,Environment$dev
78,JAN,2025,Entercom Communications,724972922289,Amazon ElastiCache,8070.6631307575,Environment$nonprod
79,JAN,2025,Entercom Communications,724972922289,Amazon ElastiCache,422.47296,Environment$prd
80,JAN,2025,Entercom Communications,724972922289,Amazon ElastiCache,5008.06488,Environment$prod
81,JAN,2025,Entercom Communications,724972922289,Amazon ElastiCache,507.78,Environment$stg
82,JAN,2025,Entercom Communications,724972922289,EC2 - Other,37690.2957851673,Environment$
83,JAN,2025,Entercom Communications,724972922289,EC2 - Other,0.7279999824,Environment$PSFalcon
84,JAN,2025,Entercom Communications,724972922289,EC2 - Other,30.4668119303,Environment$common
85,JAN,2025,Entercom Communications,724972922289,EC2 - Other,929.2221834417,Environment$dev
86,JAN,2025,Entercom Communications,724972922289,EC2 - Other,0.7279999824,Environment$development
87,JAN,2025,Entercom Communications,724972922289,EC2 - Other,18.2002514262,Environment$management
88,JAN,2025,Entercom Communications,724972922289,EC2 - Other,1414.9878428782,Environment$nonprod
89,JAN,2025,Entercom Communications,724972922289,EC2 - Other,29.0086668002,Environment$prd
90,JAN,2025,Entercom Communications,724972922289,EC2 - Other,6491.3890840497,Environment$prod
91,JAN,2025,Entercom Communications,724972922289,EC2 - Other,767.3675770436,Environment$stg
92,JAN,2025,Entercom Communications,724972922289,Amazon Elastic Compute Cloud - Compute,18241.2441399388,Environment$
93,JAN,2025,Entercom Communications,724972922289,Amazon Elastic Compute Cloud - Compute,7.6175e-06,Environment$common
94,JAN,2025,Entercom Communications,724972922289,Amazon Elastic Compute Cloud - Compute,403.6948537757,Environment$dev
95,JAN,2025,Entercom Communications,724972922289,Amazon Elastic Compute Cloud - Compute,27.25632,Environment$management
96,JAN,2025,Entercom Communications,724972922289,Amazon Elastic Compute Cloud - Compute,1941.876429516,Environment$nonprod
97,JAN,2025,Entercom Communications,724972922289,Amazon Elastic Compute Cloud - Compute,1104.2150390549,Environment$prd
98,JAN,2025,Entercom Communications,724972922289,Amazon Elastic Compute Cloud - Compute,74577.5983274007,Environment$prod
99,JAN,2025,Entercom Communications,724972922289,Amazon Elastic Compute Cloud - Compute,357.7857747938,Environment$stg
100,JAN,2025,Entercom Communications,724972922289,Amazon Elastic Container Service,9623.7493080765,Environment$
101,JAN,2025,Entercom Communications,724972922289,Amazon Elastic Container Service for Kubernetes,1198.7424072503,Environment$
102,JAN,2025,Entercom Communications,724972922289,Amazon Elastic Container Service for Kubernetes,492.1478793795,Environment$nonprod
103,JAN,2025,Entercom Communications,724972922289,Amazon Elastic Container Service for Kubernetes,609.336,Environment$prod
104,JAN,2025,Entercom Communications,724972922289,Amazon Elastic File System,1756.4748059702,Environment$
105,JAN,2025,Entercom Communications,724972922289,Amazon Elastic File System,4.144587408,Environment$dev
106,JAN,2025,Entercom Communications,724972922289,Amazon Elastic File System,54.933620831,Environment$prd
107,JAN,2025,Entercom Communications,724972922289,Amazon Elastic File System,10.6338370992,Environment$stg
108,JAN,2025,Entercom Communications,724972922289,Amazon Elastic Load Balancing,8894.2408356805,Environment$
109,JAN,2025,Entercom Communications,724972922289,Amazon Elastic Load Balancing,15.2349454885,Environment$Dev/Test
110,JAN,2025,Entercom Communications,724972922289,Amazon Elastic Load Balancing,24.1895209354,Environment$Production
111,JAN,2025,Entercom Communications,724972922289,Amazon Elastic Load Balancing,76.3154399555,Environment$dev
112,JAN,2025,Entercom Communications,724972922289,Amazon Elastic Load Balancing,268.8560032383,Environment$nonprod
113,JAN,2025,Entercom Communications,724972922289,Amazon Elastic Load Balancing,98.5546339906,Environment$prd
114,JAN,2025,Entercom Communications,724972922289,Amazon Elastic Load Balancing,2073.2127876765,Environment$prod
115,JAN,2025,Entercom Communications,724972922289,Amazon Elastic Load Balancing,15.2334,Environment$production
116,JAN,2025,Entercom Communications,724972922289,Amazon Elastic Load Balancing,17.0744364104,Environment$sbx
117,JAN,2025,Entercom Communications,724972922289,Amazon Elastic Load Balancing,107.7027684318,Environment$stg
118,JAN,2025,Entercom Communications,724972922289,Amazon Glacier,2.3485078282,Environment$
119,JAN,2025,Entercom Communications,724972922289,Amazon GuardDuty,3978.1785263078,Environment$
120,JAN,2025,Entercom Communications,724972922289,Amazon Inspector,24.297,Environment$
121,JAN,2025,Entercom Communications,724972922289,Amazon Kinesis,122.8155835308,Environment$
122,JAN,2025,Entercom Communications,724972922289,Amazon Kinesis Firehose,26.0059462418,Environment$
123,JAN,2025,Entercom Communications,724972922289,Amazon Lightsail,9.337282303,Environment$
