,Month,Year,Name,Account,Service,Cost,Enviroment
71,APR,2025,Entercom Communications,724972922289,EC2 - Other,11311.8463093855,Environment$
72,APR,2025,Entercom Communications,724972922289,EC2 - Other,0.3699999963,Environment$PSFalcon
73,APR,2025,Entercom Communications,724972922289,EC2 - Other,0.8099034998,Environment$dev
74,APR,2025,Entercom Communications,724972922289,EC2 - Other,9.2777777852,Environment$management
75,APR,2025,Entercom Communications,724972922289,EC2 - Other,528.6713304208,Environment$nonprod
76,APR,2025,Entercom Communications,724972922289,EC2 - Other,8.7767086665,Environment$prd
77,APR,2025,Entercom Communications,724972922289,EC2 - Other,3685.5604845128,Environment$prod
78,APR,2025,Entercom Communications,724972922289,EC2 - Other,0.3827064288,Environment$stg
79,APR,2025,Entercom Communications,724972922289,Amazon Elastic Compute Cloud - Compute,10287.7760281411,Environment$
80,APR,2025,Entercom Communications,724972922289,Amazon Elastic Compute Cloud - Compute,29.2032,Environment$dev
81,APR,2025,Entercom Communications,724972922289,Amazon Elastic Compute Cloud - Compute,3702.9810912905,Environment$nonprod
82,APR,2025,Entercom Communications,724972922289,Amazon Elastic Compute Cloud - Compute,47.0385413024,Environment$prd
83,APR,2025,Entercom Communications,724972922289,Amazon Elastic Compute Cloud - Compute,31777.3073336838,Environment$prod
84,APR,2025,Entercom Communications,724972922289,Amazon Elastic Compute Cloud - Compute,29.14716773,Environment$stg
85,APR,2025,Entercom Communications,724972922289,Amazon Elastic Container Service,4749.5096214763,Environment$
86,APR,2025,Entercom Communications,724972922289,Amazon Elastic Container Service for Kubernetes,259.3888895749,Environment$
87,APR,2025,Entercom Communications,724972922289,Amazon Elastic Container Service for Kubernetes,271.2,Environment$nonprod
88,APR,2025,Entercom Communications,724972922289,Amazon Elastic Container Service for Kubernetes,305.1,Environment$prod
89,APR,2025,Entercom Communications,724972922289,Amazon Elastic File System,37.0956650739,Environment$
90,APR,2025,Entercom Communications,724972922289,Amazon Elastic Load Balancing,3705.538040288,Environment$
91,APR,2025,Entercom Communications,724972922289,Amazon Elastic Load Balancing,7.6276130286,Environment$Production
92,APR,2025,Entercom Communications,724972922289,Amazon Elastic Load Balancing,7.8061991642,Environment$dev
93,APR,2025,Entercom Communications,724972922289,Amazon Elastic Load Balancing,138.2116295961,Environment$nonprod
94,APR,2025,Entercom Communications,724972922289,Amazon Elastic Load Balancing,22.8889149346,Environment$prd
95,APR,2025,Entercom Communications,724972922289,Amazon Elastic Load Balancing,1060.6994035221,Environment$prod
96,APR,2025,Entercom Communications,724972922289,Amazon Elastic Load Balancing,7.6766644541,Environment$stg
97,APR,2025,Entercom Communications,724972922289,Amazon Glacier,1.2043652936,Environment$
98,APR,2025,Entercom Communications,724972922289,Amazon GuardDuty,1965.0187747143,Environment$
99,APR,2025,Entercom Communications,724972922289,Amazon Inspector,1.2,Environment$
100,APR,2025,Entercom Communications,724972922289,Amazon Kinesis,50.85,Environment$
101,APR,2025,Entercom Communications,724972922289,Amazon Lightsail,4.6826096528,Environment$
102,APR,2025,Entercom Communications,724972922289,Amazon Location Service,0.0011355,Environment$
103,APR,2025,Entercom Communications,724972922289,Amazon MQ,30.4715337614,Environment$
104,APR,2025,Entercom Communications,724972922289,Amazon MQ,107.0092656574,Environment$nonprod
105,APR,2025,Entercom Communications,724972922289,Amazon MQ,110.4731381716,Environment$prod
106,APR,2025,Entercom Communications,724972922289,Amazon Macie,1.1508,Environment$
107,APR,2025,Entercom Communications,724972922289,Amazon Managed Grafana,9.0,Environment$
108,APR,2025,Entercom Communications,724972922289,Amazon Managed Workflows for Apache Airflow,4176.1267025852,Environment$
109,APR,2025,Entercom Communications,724972922289,Amazon Managed Workflows for Apache Airflow,1339.3912020786,Environment$nonprod
110,APR,2025,Entercom Communications,724972922289,Amazon Managed Workflows for Apache Airflow,1339.6348075176,Environment$prod
111,APR,2025,Entercom Communications,724972922289,Amazon Neptune,2.2182282708,Environment$
112,APR,2025,Entercom Communications,724972922289,Amazon OpenSearch Service,407.733195335,Environment$
113,APR,2025,Entercom Communications,724972922289,Amazon OpenSearch Service,5151.6083742599,Environment$nonprod
114,APR,2025,Entercom Communications,724972922289,Amazon OpenSearch Service,14664.7176819995,Environment$prod
